Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Treatment_Profile
19-24,Oily,Oily to Normal,Yes,Acne,Comedonal,Azelaic Acid + Niacinamide + Zinc PCA,10% + 5% + 1%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production","Azelaic Acid(10%) + Niacinamide(5%) + Zinc PCA(1%) -> Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production"
19-24,Oily,Oily to Normal,Yes,Acne,Inflammatory,Azelaic Acid + Green Tea Extract + Zinc PCA,10% + 3% + 1%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production","Azelaic Acid(10%) + Green Tea Extract(3%) + Zinc PCA(1%) -> Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
19-24,Oily,Oily to Normal,Yes,Acne,Fungal,Niacinamide + Salicylic Acid + Benzoyl Peroxide,5% + 2% + 2.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria","Niacinamide(5%) + Salicylic Acid(2%) + Benzoyl Peroxide(2.5%) -> Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
19-24,Oily,Oily to Normal,Yes,Acne,Cystic,Zinc PCA + Niacinamide + Salicylic Acid,5% + 2% + 1%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil","Zinc PCA(5%) + Niacinamide(2%) + Salicylic Acid(1%) -> Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
19-24,Oily,Oily to Normal,Yes,Dark Circles,Pigmented,Vitamin C + Hyaluronic Acid + Caffeine,10% + 1% + 3%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Improves blood circulation under eyes","Vitamin C(10%) + Hyaluronic Acid(1%) + Caffeine(3%) -> Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Improves blood circulation under eyes"
19-24,Oily,Oily to Normal,Yes,Dark Circles,Vascular,Vitamin C + Licorice Extract + Niacinamide,10% + 2% + 5%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum","Vitamin C(10%) + Licorice Extract(2%) + Niacinamide(5%) -> Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Dark Spots,General,Kojic Acid + Vitamin C + Niacinamide,1% + 10% + 5%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum","Kojic Acid(1%) + Vitamin C(10%) + Niacinamide(5%) -> Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Dullness,General,Vitamin C + Hyaluronic Acid + Niacinamide,10% + 1% + 5%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum","Vitamin C(10%) + Hyaluronic Acid(1%) + Niacinamide(5%) -> Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Hyperpigmentation,General,Alpha Arbutin + Vitamin C + Niacinamide,2% + 10% + 5%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum","Alpha Arbutin(2%) + Vitamin C(10%) + Niacinamide(5%) -> Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Open Pores,General,Niacinamide + Clay + Azelaic Acid,5% + 10% + 1%,"Reduces inflammation and regulates sebum, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture","Niacinamide(5%) + Clay(10%) + Azelaic Acid(1%) -> Reduces inflammation and regulates sebum, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture"
19-24,Oily,Oily to Normal,Yes,Redness,General,Centella Asiatica + Niacinamide + Chamomile Extract,5% + 1% + 1%,"Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Calms redness and irritation","Centella Asiatica(5%) + Niacinamide(1%) + Chamomile Extract(1%) -> Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Calms redness and irritation"
19-24,Oily,Oily to Normal,Yes,Sun Tan,General,Licorice Extract + Vitamin C + Niacinamide,2% + 10% + 5%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum","Licorice Extract(2%) + Vitamin C(10%) + Niacinamide(5%) -> Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid + Niacinamide,2% + 5% + 1%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","Willow Bark Extract(2%) + Salicylic Acid(5%) + Niacinamide(1%) -> Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Wrinkles,General,Peptides + Hyaluronic Acid + Coenzyme Q10,1% + 1% + 1%,"Improves skin elasticity and firmness, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair","Peptides(1%) + Hyaluronic Acid(1%) + Coenzyme Q10(1%) -> Improves skin elasticity and firmness, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair"
19-24,Oily,Oily to Normal,No,Acne,Comedonal,Azelaic Acid + Benzoyl Peroxide + Salicylic Acid,10% + 2.5% + 2%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Unclogs pores and removes excess oil","Azelaic Acid(10%) + Benzoyl Peroxide(2.5%) + Salicylic Acid(2%) -> Reduces acne and improves skin texture, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
19-24,Oily,Oily to Normal,No,Acne,Inflammatory,Benzoyl Peroxide + Azelaic Acid + Green Tea Extract,2.5% + 10% + 3%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","Benzoyl Peroxide(2.5%) + Azelaic Acid(10%) + Green Tea Extract(3%) -> Kills acne-causing bacteria, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Oily to Normal,No,Acne,Fungal,Azelaic Acid + Niacinamide + Zinc PCA,10% + 5% + 1%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production","Azelaic Acid(10%) + Niacinamide(5%) + Zinc PCA(1%) -> Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production"
19-24,Oily,Oily to Normal,No,Acne,Cystic,Azelaic Acid + Green Tea Extract + Niacinamide,10% + 3% + 5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum","Azelaic Acid(10%) + Green Tea Extract(3%) + Niacinamide(5%) -> Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,No,Dark Circles,Pigmented,Caffeine + Hyaluronic Acid + Vitamin C,3% + 1% + 10%,"Reduces puffiness and improves circulation, Hydrates and plumps the skin, Brightens skin and reduces pigmentation","Caffeine(3%) + Hyaluronic Acid(1%) + Vitamin C(10%) -> Reduces puffiness and improves circulation, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
19-24,Oily,Oily to Normal,No,Dark Circles,Vascular,Caffeine + Licorice Extract + Vitamin C,3% + 2% + 10%,"Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation","Caffeine(3%) + Licorice Extract(2%) + Vitamin C(10%) -> Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
19-24,Oily,Oily to Normal,No,Dark Spots,General,Alpha Arbutin + Kojic Acid + Licorice Extract,2% + 1% + 2%,"Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration, Lightens dark spots and evens skin tone","Alpha Arbutin(2%) + Kojic Acid(1%) + Licorice Extract(2%) -> Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration, Lightens dark spots and evens skin tone"
19-24,Oily,Oily to Normal,No,Dullness,General,Green Tea Extract + Niacinamide + Vitamin C,3% + 5% + 10%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation","Green Tea Extract(3%) + Niacinamide(5%) + Vitamin C(10%) -> Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
19-24,Oily,Oily to Normal,No,Hyperpigmentation,General,Niacinamide + Tranexamic Acid + Licorice Extract,5% + 2% + 2%,"Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone","Niacinamide(5%) + Tranexamic Acid(2%) + Licorice Extract(2%) -> Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone"
19-24,Oily,Oily to Normal,No,Open Pores,General,Clay + Green Tea Extract + Niacinamide,3% + 5% + 1%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum","Clay(3%) + Green Tea Extract(5%) + Niacinamide(1%) -> Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,No,Redness,General,Green Tea Extract + Centella Asiatica + Chamomile Extract,3% + 1% + 1%,"Provides antioxidant and anti-inflammatory benefits, Soothes irritation and repairs skin barrier, Calms redness and irritation","Green Tea Extract(3%) + Centella Asiatica(1%) + Chamomile Extract(1%) -> Provides antioxidant and anti-inflammatory benefits, Soothes irritation and repairs skin barrier, Calms redness and irritation"
19-24,Oily,Oily to Normal,No,Sun Tan,General,Licorice Extract + Alpha Arbutin + Vitamin C,2% + 2% + 10%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation","Licorice Extract(2%) + Alpha Arbutin(2%) + Vitamin C(10%) -> Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
19-24,Oily,Oily to Normal,No,Whiteheads / Blackheads,General,Niacinamide + Salicylic Acid + Glycolic Acid,5% + 2% + 1%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin","Niacinamide(5%) + Salicylic Acid(2%) + Glycolic Acid(1%) -> Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin"
19-24,Oily,Oily to Normal,No,Wrinkles,General,Niacinamide + Hyaluronic Acid + Coenzyme Q10,5% + 1% + 1%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair","Niacinamide(5%) + Hyaluronic Acid(1%) + Coenzyme Q10(1%) -> Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair"
19-24,Oily,Extreme Oily,Yes,Acne,Comedonal,Salicylic Acid + Zinc PCA + Azelaic Acid,2% + 10% + 1%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture","Salicylic Acid(2%) + Zinc PCA(10%) + Azelaic Acid(1%) -> Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture"
19-24,Oily,Extreme Oily,Yes,Acne,Inflammatory,Azelaic Acid + Benzoyl Peroxide + Green Tea Extract,10% + 2.5% + 3%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","Azelaic Acid(10%) + Benzoyl Peroxide(2.5%) + Green Tea Extract(3%) -> Reduces acne and improves skin texture, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Extreme Oily,Yes,Acne,Fungal,Green Tea Extract + Niacinamide + Zinc PCA,3% + 5% + 1%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Controls sebum production","Green Tea Extract(3%) + Niacinamide(5%) + Zinc PCA(1%) -> Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Controls sebum production"
19-24,Oily,Extreme Oily,Yes,Acne,Cystic,Zinc PCA + Azelaic Acid + Green Tea Extract,10% + 3% + 1%,"Controls sebum production, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","Zinc PCA(10%) + Azelaic Acid(3%) + Green Tea Extract(1%) -> Controls sebum production, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Extreme Oily,Yes,Dark Circles,Pigmented,Caffeine + Hyaluronic Acid + Licorice Extract,3% + 1% + 2%,"Improves blood circulation under eyes, Hydrates and plumps the skin, Lightens dark spots and evens skin tone","Caffeine(3%) + Hyaluronic Acid(1%) + Licorice Extract(2%) -> Improves blood circulation under eyes, Hydrates and plumps the skin, Lightens dark spots and evens skin tone"
19-24,Oily,Extreme Oily,Yes,Dark Circles,Vascular,Licorice Extract + Caffeine + Hyaluronic Acid,2% + 3% + 1%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Hydrates and plumps the skin","Licorice Extract(2%) + Caffeine(3%) + Hyaluronic Acid(1%) -> Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
19-24,Oily,Extreme Oily,Yes,Dark Spots,General,Kojic Acid + Vitamin C + Niacinamide,1% + 10% + 5%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum","Kojic Acid(1%) + Vitamin C(10%) + Niacinamide(5%) -> Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,Yes,Dullness,General,Niacinamide + Lactic Acid + Green Tea Extract,5% + 3% + 1%,"Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits","Niacinamide(5%) + Lactic Acid(3%) + Green Tea Extract(1%) -> Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Extreme Oily,Yes,Hyperpigmentation,General,Alpha Arbutin + Niacinamide + Vitamin C,2% + 5% + 10%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation","Alpha Arbutin(2%) + Niacinamide(5%) + Vitamin C(10%) -> Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
19-24,Oily,Extreme Oily,Yes,Open Pores,General,Azelaic Acid + Niacinamide + Salicylic Acid,10% + 5% + 2%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil","Azelaic Acid(10%) + Niacinamide(5%) + Salicylic Acid(2%) -> Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
19-24,Oily,Extreme Oily,Yes,Redness,General,Chamomile Extract + Niacinamide + Green Tea Extract,5% + 3% + 1%,"Calms redness and irritation, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits","Chamomile Extract(5%) + Niacinamide(3%) + Green Tea Extract(1%) -> Calms redness and irritation, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Extreme Oily,Yes,Sun Tan,General,Aloe Vera + Alpha Arbutin + Vitamin C,2% + 10% + 1%,"Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation","Aloe Vera(2%) + Alpha Arbutin(10%) + Vitamin C(1%) -> Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
19-24,Oily,Extreme Oily,Yes,Whiteheads / Blackheads,General,Salicylic Acid + Glycolic Acid + Zinc PCA,2% + 1% + 1%,"Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin, Controls sebum production","Salicylic Acid(2%) + Glycolic Acid(1%) + Zinc PCA(1%) -> Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin, Controls sebum production"
19-24,Oily,Extreme Oily,Yes,Wrinkles,General,Retinol + Niacinamide + Peptides,0.1% + 5% + 1%,"Stimulates collagen production and reduces wrinkles, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness","Retinol(0.1%) + Niacinamide(5%) + Peptides(1%) -> Stimulates collagen production and reduces wrinkles, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
19-24,Oily,Extreme Oily,No,Acne,Comedonal,Benzoyl Peroxide + Salicylic Acid + Niacinamide,2.5% + 2% + 5%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","Benzoyl Peroxide(2.5%) + Salicylic Acid(2%) + Niacinamide(5%) -> Kills acne-causing bacteria, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,No,Acne,Inflammatory,Azelaic Acid + Salicylic Acid + Benzoyl Peroxide,10% + 2% + 2.5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Kills acne-causing bacteria","Azelaic Acid(10%) + Salicylic Acid(2%) + Benzoyl Peroxide(2.5%) -> Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
19-24,Oily,Extreme Oily,No,Acne,Fungal,Benzoyl Peroxide + Azelaic Acid + Niacinamide,2.5% + 10% + 5%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum","Benzoyl Peroxide(2.5%) + Azelaic Acid(10%) + Niacinamide(5%) -> Kills acne-causing bacteria, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,No,Acne,Cystic,Salicylic Acid + Niacinamide + Azelaic Acid,2% + 5% + 10%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","Salicylic Acid(2%) + Niacinamide(5%) + Azelaic Acid(10%) -> Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
19-24,Oily,Extreme Oily,No,Dark Circles,Pigmented,Hyaluronic Acid + Niacinamide + Licorice Extract,1% + 5% + 2%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone","Hyaluronic Acid(1%) + Niacinamide(5%) + Licorice Extract(2%) -> Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
19-24,Oily,Extreme Oily,No,Dark Circles,Vascular,Vitamin C + Niacinamide + Hyaluronic Acid,10% + 5% + 1%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin","Vitamin C(10%) + Niacinamide(5%) + Hyaluronic Acid(1%) -> Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
19-24,Oily,Extreme Oily,No,Dark Spots,General,Vitamin C + Alpha Arbutin + Niacinamide,10% + 2% + 5%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum","Vitamin C(10%) + Alpha Arbutin(2%) + Niacinamide(5%) -> Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,No,Dullness,General,Hyaluronic Acid + Green Tea Extract + Lactic Acid,1% + 3% + 1%,"Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance","Hyaluronic Acid(1%) + Green Tea Extract(3%) + Lactic Acid(1%) -> Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance"
19-24,Oily,Extreme Oily,No,Hyperpigmentation,General,Vitamin C + Niacinamide + Tranexamic Acid,10% + 5% + 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation","Vitamin C(10%) + Niacinamide(5%) + Tranexamic Acid(2%) -> Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation"
19-24,Oily,Extreme Oily,No,Open Pores,General,Clay + Green Tea Extract + Salicylic Acid,3% + 2% + 1%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil","Clay(3%) + Green Tea Extract(2%) + Salicylic Acid(1%) -> Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
19-24,Oily,Extreme Oily,No,Redness,General,Aloe Vera + Chamomile Extract + Niacinamide,5% + 1% + 1%,"Soothes and hydrates irritated skin, Calms redness and irritation, Reduces inflammation and regulates sebum","Aloe Vera(5%) + Chamomile Extract(1%) + Niacinamide(1%) -> Soothes and hydrates irritated skin, Calms redness and irritation, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,No,Sun Tan,General,Niacinamide + Alpha Arbutin + Licorice Extract,5% + 2% + 2%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone","Niacinamide(5%) + Alpha Arbutin(2%) + Licorice Extract(2%) -> Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone"
19-24,Oily,Extreme Oily,No,Whiteheads / Blackheads,General,Zinc PCA + Salicylic Acid + Willow Bark Extract,2% + 1% + 1%,"Controls sebum production, Unclogs pores and removes excess oil, Naturally exfoliates and clears pores","Zinc PCA(2%) + Salicylic Acid(1%) + Willow Bark Extract(1%) -> Controls sebum production, Unclogs pores and removes excess oil, Naturally exfoliates and clears pores"
19-24,Oily,Extreme Oily,No,Wrinkles,General,Peptides + Hyaluronic Acid + Niacinamide,1% + 5% + 1%,"Improves skin elasticity and firmness, Hydrates and plumps the skin, Reduces inflammation and regulates sebum","Peptides(1%) + Hyaluronic Acid(5%) + Niacinamide(1%) -> Improves skin elasticity and firmness, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Comedonal,Benzoyl Peroxide + Salicylic Acid + Zinc PCA,2.5% + 2% + 1%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Controls sebum production","Benzoyl Peroxide(2.5%) + Salicylic Acid(2%) + Zinc PCA(1%) -> Kills acne-causing bacteria, Unclogs pores and removes excess oil, Controls sebum production"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Inflammatory,Azelaic Acid + Benzoyl Peroxide + Zinc PCA,10% + 2.5% + 1%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production","Azelaic Acid(10%) + Benzoyl Peroxide(2.5%) + Zinc PCA(1%) -> Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Fungal,Zinc PCA + Green Tea Extract + Salicylic Acid,3% + 2% + 1%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil","Zinc PCA(3%) + Green Tea Extract(2%) + Salicylic Acid(1%) -> Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Cystic,Salicylic Acid + Green Tea Extract + Zinc PCA,2% + 3% + 1%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Controls sebum production","Salicylic Acid(2%) + Green Tea Extract(3%) + Zinc PCA(1%) -> Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Pigmented,Hyaluronic Acid + Caffeine + Vitamin C,1% + 3% + 10%,"Hydrates and plumps the skin, Improves blood circulation under eyes, Brightens skin and reduces pigmentation","Hyaluronic Acid(1%) + Caffeine(3%) + Vitamin C(10%) -> Hydrates and plumps the skin, Improves blood circulation under eyes, Brightens skin and reduces pigmentation"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Vascular,Caffeine + Niacinamide + Caffeine,3% + 5% + 3%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Improves blood circulation under eyes","Caffeine(3%) + Niacinamide(5%) + Caffeine(3%) -> Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Improves blood circulation under eyes"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Spots,General,Kojic Acid + Vitamin C + Licorice Extract,1% + 10% + 2%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone","Kojic Acid(1%) + Vitamin C(10%) + Licorice Extract(2%) -> Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Dullness,General,Green Tea Extract + Niacinamide + Vitamin C,3% + 5% + 10%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation","Green Tea Extract(3%) + Niacinamide(5%) + Vitamin C(10%) -> Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Hyperpigmentation,General,Vitamin C + Niacinamide + Tranexamic Acid,10% + 5% + 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation","Vitamin C(10%) + Niacinamide(5%) + Tranexamic Acid(2%) -> Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Open Pores,General,Azelaic Acid + Green Tea Extract + Clay,10% + 3% + 1%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores","Azelaic Acid(10%) + Green Tea Extract(3%) + Clay(1%) -> Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Redness,General,Centella Asiatica + Aloe Vera + Green Tea Extract,3% + 1% + 1%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits","Centella Asiatica(3%) + Aloe Vera(1%) + Green Tea Extract(1%) -> Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Sun Tan,General,Aloe Vera + Niacinamide + Alpha Arbutin,5% + 2% + 1%,"Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots","Aloe Vera(5%) + Niacinamide(2%) + Alpha Arbutin(1%) -> Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid + Niacinamide,2% + 5% + 1%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","Willow Bark Extract(2%) + Salicylic Acid(5%) + Niacinamide(1%) -> Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Wrinkles,General,Coenzyme Q10 + Niacinamide + Peptides,5% + 1% + 1%,"Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness","Coenzyme Q10(5%) + Niacinamide(1%) + Peptides(1%) -> Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
